t,gx,gy,gz,ax,ay,az
149916606671703,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916608336711,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916609958038,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916611567653,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916613173940,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916614776483,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916616379250,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916617981697,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916619580528,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916621180255,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916622777423,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916624376830,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916625971277,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916627568060,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916629174571,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916630779802,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916632381993,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916633980696,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916635578087,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916637186710,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916638795237,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916640406228,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916642009635,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916643613106,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916645222881,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916646825296,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916648430336,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916650030319,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916651629534,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916653230157,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916654830140,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916656428907,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916658088954,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916659727370,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916661345881,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916662952328,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916664553591,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916666148806,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916667741717,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916669336228,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916670931187,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916672523298,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916674117265,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916675708096,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916677516753,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916679168736,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916680777968,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916682378015,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916683971406,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916685563933,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916687153804,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916688743130,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916690337001,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916691928504,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916693521671,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916695125046,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916696722501,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916698318516,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916699907651,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916701521587,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916703126146,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916704734961,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916706350016,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916707963759,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916709572062,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916711186413,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916712806749,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916714424908,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916716041243,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916717673130,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916719305658,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916720949001,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916722586329,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916724224584,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916725834487,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916727445382,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916729076117,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916730697957,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916732329652,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916733958307,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916735591987,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916737220706,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916738855985,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916740516897,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916742155312,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916743791232,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916745437327,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916747060703,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916748675438,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916750283133,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916751885868,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916753485595,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916755079754,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916756679033,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916758438057,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916760320379,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916762108204,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916763793340,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916765439851,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916767117371,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916768759498,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916770360889,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916771952072,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916773576344,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916775207463,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916776803734,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916778555047,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916780143765,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916781717476,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
149916783287955,-0.23651123046875,-0.1220703125,-0.0457763671875,-1,-1,-1
