t,gx,gy,gz,ax,ay,az
74322051479520,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322053078464,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322054678688,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322056274784,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322057856736,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322059434848,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322061009408,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322062585600,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322064164288,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322065743104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322067322848,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322068900000,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322070516960,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322072151584,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322073806912,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322075415104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322076998624,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322078579456,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322080157088,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322081747936,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322083333088,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322084917536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322086517024,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322088102496,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322089741952,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322091357088,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322092967136,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322094575648,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322096159712,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322097747488,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322099379360,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322101015232,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322102615104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322104204992,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322105790528,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322107367936,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322108945312,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322110523904,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322112102144,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322113676192,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322115271200,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322116845792,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322118421568,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322119997728,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322121570464,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322123144224,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322124718240,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322126292512,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322127872448,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322129448320,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322131077952,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322132742272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322134398656,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322136036928,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322137669792,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322139306720,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322140891712,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322142470464,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322144045856,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322145619712,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322147197088,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322148781120,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322150361536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322151983744,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322153588288,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322155169792,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322156758080,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322158335552,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322159931392,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322161527264,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322163106848,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322164685184,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322166262080,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322167839456,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322169412704,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322170991328,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322172570624,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322174147520,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322175719424,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322177300832,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322178881664,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322180461952,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322182076352,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322183706912,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322185329632,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322186931744,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322188561280,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322190217408,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322191826144,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322193407712,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322194989536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322196582240,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322199287072,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322203738400,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322206424480,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322208913600,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322211777472,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322214481696,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322218933600,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322221630528,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322224127040,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322227009504,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322229722656,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322234182752,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322236896608,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
